
2024/10/28 (22:25:31) | ===> btop++ v.1.4.0
2024/10/28 (22:25:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (22:32:55) | ===> btop++ v.1.4.0
2024/10/28 (22:32:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (22:37:55) | ===> btop++ v.1.4.0
2024/10/28 (22:37:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (22:38:01) | ===> btop++ v.1.4.0
2024/10/28 (22:38:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (22:38:04) | ===> btop++ v.1.4.0
2024/10/28 (22:38:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (23:19:00) | ===> btop++ v.1.4.0
2024/10/28 (23:19:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:53:09) | ===> btop++ v.1.4.0
2024/10/29 (10:53:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:28:21) | ===> btop++ v.1.4.0
2024/10/29 (11:28:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:30:07) | ===> btop++ v.1.4.0
2024/10/29 (11:30:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:40:45) | ===> btop++ v.1.4.0
2024/10/29 (11:40:45) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/29 (11:42:32) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/29 (11:42:37) | ===> btop++ v.1.4.0
2024/10/29 (11:42:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (13:27:24) | ===> btop++ v.1.4.0
2024/10/29 (13:27:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (13:31:37) | ===> btop++ v.1.4.0
2024/10/29 (13:31:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (17:53:03) | ===> btop++ v.1.4.0
2024/10/29 (17:53:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (17:55:26) | ===> btop++ v.1.4.0
2024/10/29 (17:55:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (18:15:04) | ===> btop++ v.1.4.0
2024/10/29 (18:15:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (18:19:22) | ===> btop++ v.1.4.0
2024/10/29 (18:19:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (18:45:39) | ===> btop++ v.1.4.0
2024/10/29 (18:45:39) | WARNING: Intel GPU: Failed to initialize PMU
